Jahr;Monat;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2001;05;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;269;436
2001;05;Ausländer ohne Angabe;Sonst. Ausland;Ausland;232;508
2001;06;Deutschland;Deutschland;Deutschland;100739;222534
2001;06;Belgien;Europa ohne Deutschland;Ausland;447;882
2001;06;Dänemark;Europa ohne Deutschland;Ausland;493;1205
2001;06;Frankreich;Europa ohne Deutschland;Ausland;620;1363
2001;06;Italien;Europa ohne Deutschland;Ausland;840;1495
2001;06;Niederlande;Europa ohne Deutschland;Ausland;852;1756
2001;06;Österreich;Europa ohne Deutschland;Ausland;1340;2563
2001;06;Polen;Europa ohne Deutschland;Ausland;215;402
2001;06;Schweden;Europa ohne Deutschland;Ausland;487;601
2001;06;Schweiz;Europa ohne Deutschland;Ausland;1691;4087
2001;06;Russland;Europa ohne Deutschland;Ausland;240;609
2001;06;Spanien;Europa ohne Deutschland;Ausland;170;328
2001;06;Tschechische Republik;Europa ohne Deutschland;Ausland;246;365
2001;06;Großbritannien;Europa ohne Deutschland;Ausland;1599;3006
2001;06;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1090;2113
