Jahr;Monat;Flugzeugbewegungen - gesamt;Flugzeugbewegungen - Gew. Verkehr - gesamt;Flugzeugbewegungen - Gew. Verkehr - Landungen;Flugzeugbewegungen - Gew. Verkehr - Starts;Flugzeugbewegungen - Gew. Verkehr - MTOW (in t);Flugzeugbewegungen - Gew. Verkehr - Passagierflüge;Flugzeugbewegungen - Gew. Verkehr - Passagierflüge, dar. Linie/Touristik;Flugzeugbewegungen - Gew. Verkehr - Fracht und Postflüge;Flugzeugbewegungen - Gew. Verkehr - Übriger gewerblicher Verkehr (bis einschl. 2013);Flugzeugbewegungen - Nichtgew. Verkehr - gesamt;Flugzeugbewegungen - Nichtgew. Verkehr - Werkverkehr;Flugzeugbewegungen - Nichtgew. Verkehr - Übriger nichtgewerbl. Verkehr;Fluggäste - gesamt;Fluggäste - Gew. Verkehr - gesamt;Fluggäste - Gew. Verkehr - Lokalaufkommen;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Aussteiger;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Einsteiger;Fluggäste - Gew. Verkehr - Transitaufkommen;Fluggäste - Gew. Verkehr - Aufkommen Inland;Fluggäste - Gew. Verkehr - Aufkommen Ausland;Fluggäste - Nichtgew. Verkehr - gesamt;Luftfracht/Luftpost - gesamt (in t) (ab 2016);Luftfracht - gesamt (in t);Luftfracht - Umschlag (an + ab) (in t);Luftfracht - Umschlag (an + ab), dav. Ausladungen (in t);Luftfracht - Umschlag (an + ab), dav. Einladungen (in t);Luftfracht - Durchgang (Transit) (in t);Luftpost - gesamt (in t) (ab 2008);Verkehrseinheiten (VE)
2012;03;2686;2020;1012;1008;51137;1852;1850;2;168;666;177;489;146335;145869;145352;73573;71779;517;104139;41213;466;-;53,7;53,7;42;11,7;0;0;145889
2012;04;2628;1999;999;1000;51030;1792;1792;0;207;629;158;471;146422;146058;145169;72605;72564;889;96005;49164;364;-;17,4;17,4;9,8;7,6;0;0;145343
2012;05;3224;2350;1177;1173;59335;2082;2082;0;268;874;224;650;174388;173669;171737;82809;88928;1932;105290;66447;719;-;11,2;11,2;4,3;6,9;0;0;171849
2012;06;3151;2355;1176;1179;60470;2140;2140;0;215;796;207;589;181602;181079;178788;89462;89326;2291;97516;81272;523;-;11,9;11,8;4,9;7;0;0;178907
2012;07;2967;2194;1099;1094;57838;2049;2048;1;145;773;200;573;172538;172173;169173;82448;86725;3000;88091;81082;365;-;16;15,7;4;11,7;0,3;1,2;169339
2012;08;3125;2303;1155;1148;57887;2069;2068;1;234;822;170;652;180382;180032;178684;90866;87818;1348;84419;94265;350;-;24,6;24,6;16,1;8,4;0;0;178930
2012;09;3260;2382;1192;1190;62023;2137;2133;4;245;878;230;648;205697;204963;203296;100566;102730;1667;104955;98341;734;-;20,7;18,6;9,8;8,8;2;0,3;203484
2012;10;3025;2460;1232;1227;63787;2208;2208;0;252;565;161;404;199210;198876;197730;101708;96022;1146;105776;91954;334;-;14,3;14,3;5,5;8,9;0;0;197873
2012;11;2423;2007;1009;998;46566;1849;1846;3;158;416;160;256;141125;140872;140389;73529;66860;483;99099;41290;253;-;30,7;17,1;8,4;8,7;13,6;0;140560
2012;12;1972;1613;804;809;38275;1539;1538;1;74;359;140;219;116877;116583;115448;58640;56808;1135;88156;27292;294;-;14;14;7,6;6,4;0;0,1;115588
2013;01;1872;1542;770;772;38790;1484;1484;0;58;330;87;243;101424;101302;100808;48182;52626;494;74178;26630;122;-;12,6;12,6;6,4;6,2;0;0;100934
2013;02;1721;1398;700;698;36410;1343;1343;0;55;323;137;186;104714;104542;103814;51172;52642;728;75830;27984;172;-;11,6;11,6;7;4,7;0;0;103930
2013;03;2087;1619;806;813;41687;1518;1518;0;101;468;136;332;131447;131066;130658;65183;65475;408;88799;41859;381;-;8,5;8,5;2,6;5,9;0;0;130743
