Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;03 bis unter 5 Jahre;159945;3527
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;05 bis unter 10 Jahre;232559;2629
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;10 bis unter 20 Jahre;567719;3297
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;20 Jahre und mehr;1839611;4284
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;00 bis unter 1 Jahr;1437;299
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;01 bis unter 3 Jahre;5489;257
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;03 bis unter 5 Jahre;3439;75
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;05 bis unter 10 Jahre;5203;63
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;10 bis unter 20 Jahre;1708;11
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;20 Jahre und mehr;2823;8
1999;16 Gorbitz;Deutsche;00 bis unter 1 Jahr;11624;2254
1999;16 Gorbitz;Deutsche;01 bis unter 3 Jahre;94369;4035
1999;16 Gorbitz;Deutsche;03 bis unter 5 Jahre;127083;2762
1999;16 Gorbitz;Deutsche;05 bis unter 10 Jahre;349494;3821
1999;16 Gorbitz;Deutsche;10 bis unter 20 Jahre;2057181;12415
1999;16 Gorbitz;Deutsche;20 Jahre und mehr;127740;293
1999;16 Gorbitz;Ausländer;00 bis unter 1 Jahr;453;97
1999;16 Gorbitz;Ausländer;01 bis unter 3 Jahre;2825;132
1999;16 Gorbitz;Ausländer;03 bis unter 5 Jahre;2725;56
1999;16 Gorbitz;Ausländer;05 bis unter 10 Jahre;2885;34
1999;16 Gorbitz;Ausländer;10 bis unter 20 Jahre;6542;38
