Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Haushalt-Größe-5;Anzahl Einwohner;Anzahl Haushalte
2022;56 Seidnitz/Dobritz;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;5-u.m.-Pers-Hh.;480;92
2022;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1-Pers-Haush.;3815;3815
2022;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2-Pers-Haush.;4518;2259
2022;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3-Pers-Haush.;1986;662
2022;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;4-Pers-Haush.;1828;457
2022;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;5-u.m.-Pers-Hh.;731;140
2022;61 Leuben;StB 6 Leuben;10 StB Leuben;1-Pers-Haush.;3880;3880
2022;61 Leuben;StB 6 Leuben;10 StB Leuben;2-Pers-Haush.;4232;2116
2022;61 Leuben;StB 6 Leuben;10 StB Leuben;3-Pers-Haush.;1770;590
2022;61 Leuben;StB 6 Leuben;10 StB Leuben;4-Pers-Haush.;1496;374
2022;61 Leuben;StB 6 Leuben;10 StB Leuben;5-u.m.-Pers-Hh.;714;131
2022;62 Laubegast;StB 6 Leuben;10 StB Leuben;1-Pers-Haush.;3434;3434
2022;62 Laubegast;StB 6 Leuben;10 StB Leuben;2-Pers-Haush.;4230;2115
2022;62 Laubegast;StB 6 Leuben;10 StB Leuben;3-Pers-Haush.;1989;663
2022;62 Laubegast;StB 6 Leuben;10 StB Leuben;4-Pers-Haush.;1844;461
2022;62 Laubegast;StB 6 Leuben;10 StB Leuben;5-u.m.-Pers-Hh.;635;124
2022;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;1-Pers-Haush.;1580;1580
2022;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;2-Pers-Haush.;2956;1478
2022;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;3-Pers-Haush.;1584;528
