Jahr;Stadtraum;Heizungsart;Anteil in %
2016;18 Dresden gesamt;Fernheizung;45
2016;18 Dresden gesamt;Zentralheizung oder Etagenheizung;53,8
2016;18 Dresden gesamt;Einzelraumheizung;1,1
2018;01 StB Altstadt ohne Johannstadt;Fernheizung;68,2
2018;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;31,8
2018;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0
2018;02 Johannstadt;Fernheizung;72,5
2018;02 Johannstadt;Zentralheizung oder Etagenheizung;25,8
2018;02 Johannstadt;Einzelraumheizung;1,7
2018;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;43,6
2018;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;53,7
2018;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;2,7
2018;04 Leipziger Vorstadt, Pieschen;Fernheizung;24,5
2018;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;73,4
2018;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;2,1
2018;05 Mickten, Kaditz, Trachau;Fernheizung;38,5
2018;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;61,1
2018;05 Mickten, Kaditz, Trachau;Einzelraumheizung;0,3
2018;06 StB Klotzsche und nördliche OS;Fernheizung;26,3
2018;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;73,1
2018;06 StB Klotzsche und nördliche OS;Einzelraumheizung;0,7
2018;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;11,9
2018;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;86
2018;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;2,1
2018;08 Blasewitz, Striesen;Fernheizung;49,3
2018;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;50,7
2018;08 Blasewitz, Striesen;Einzelraumheizung;0
2018;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;67,2
2018;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;32,2
