Jahr;Monat;Betriebsart;Tourismus_Betriebe gesamt;Tourismus_Betriebe;Tourismus_Betten gesamt;Tourismus_Betten;Tourismus_Ankünfte;Tourismus_Übernachtungen
2004;12;Hotels;68;68;11616;11321;93969;190899
2004;12;Hotels garni;22;22;1892;1875;12427;25961
2004;12;Gasthöfe;18;18;339;339;1726;3109
2004;12;Pensionen;33;33;594;592;2584;6361
2004;12;Jugendherbergen, Hütten und Hostels;7;7;899;898;5336;9434
2004;12;sonstige;8;7;431;371;1402;4814
2005;01;Hotels;68;67;11614;11169;42489;88334
2005;01;Hotels garni;22;22;1892;1843;6305;14183
2005;01;Gasthöfe;18;18;339;339;831;1568
2005;01;Pensionen;32;31;581;571;1503;3904
2005;01;Jugendherbergen, Hütten und Hostels;7;7;899;898;2870;5434
2005;01;sonstige;8;7;431;371;916;3285
2005;02;Hotels;68;68;11613;11154;45720;91582
2005;02;Hotels garni;23;23;1912;1865;6961;14263
2005;02;Gasthöfe;18;18;340;340;856;1560
2005;02;Pensionen;32;31;581;571;1513;3758
2005;02;Jugendherbergen, Hütten und Hostels;7;7;899;898;3116;6351
2005;02;sonstige;8;7;431;371;891;4117
2005;03;Hotels;68;68;11613;11159;67430;143223
2005;03;Hotels garni;23;23;1912;1863;10045;21543
2005;03;Gasthöfe;18;18;342;340;1348;2511
2005;03;Pensionen;32;31;581;571;2271;5444
2005;03;Jugendherbergen, Hütten und Hostels;7;7;899;898;6241;13939
2005;03;sonstige;8;7;431;371;1122;4837
2005;04;Hotels;68;68;11613;11154;85075;179360
2005;04;Hotels garni;23;23;1912;1861;12059;27083
2005;04;Gasthöfe;18;18;344;342;1538;2944
2005;04;Pensionen;32;32;582;582;2483;6009
2005;04;Jugendherbergen, Hütten und Hostels;7;7;899;898;7475;16707
2005;04;sonstige;8;7;431;371;1225;3753
2005;05;Hotels;68;68;11600;11144;100328;229953
2005;05;Hotels garni;23;23;1921;1871;15645;36567
2005;05;Gasthöfe;18;18;345;343;2222;4334
2005;05;Pensionen;32;32;582;582;3181;8509
2005;05;Jugendherbergen, Hütten und Hostels;7;7;899;898;8025;19839
2005;05;sonstige;8;7;453;393;2053;6775
2005;06;Hotels;68;68;11603;11146;96572;207877
2005;06;Hotels garni;23;23;1920;1869;14319;31095
2005;06;Gasthöfe;18;18;345;338;1808;3433
2005;06;Pensionen;32;32;582;582;2778;7387
2005;06;Jugendherbergen, Hütten und Hostels;7;7;899;898;7909;19168
2005;06;sonstige;8;7;453;371;1705;5604
2005;07;Hotels;68;67;11348;11116;96105;210631
2005;07;Hotels garni;22;22;1861;1831;13504;28883
2005;07;Gasthöfe;18;18;345;338;2515;3848
2005;07;Pensionen;32;32;582;582;2729;7042
2005;07;Jugendherbergen, Hütten und Hostels;7;7;899;898;8314;20419
2005;07;sonstige;7;6;439;379;1617;6079
2005;08;Hotels;68;68;11348;11166;104229;234348
2005;08;Hotels garni;22;21;1861;1813;15510;32296
2005;08;Gasthöfe;18;18;345;338;2092;3890
2005;08;Pensionen;32;32;582;582;2971;7044
2005;08;Jugendherbergen, Hütten und Hostels;7;7;899;898;7699;18545
2005;08;sonstige;7;7;439;439;1626;6117
2005;09;Hotels;68;68;11348;11166;107023;227710
2005;09;Hotels garni;22;22;1860;1832;16323;35602
2005;09;Gasthöfe;18;18;345;338;1954;3863
2005;09;Pensionen;32;32;582;580;3311;7724
2005;09;Jugendherbergen, Hütten und Hostels;7;7;899;898;7479;19215
2005;09;sonstige;7;7;439;439;2233;6181
2005;10;Hotels;69;69;11388;11206;97284;222936
2005;10;Hotels garni;22;22;1860;1832;14775;34179
2005;10;Gasthöfe;18;18;345;338;1846;3959
2005;10;Pensionen;34;34;605;601;3205;7575
2005;10;Jugendherbergen, Hütten und Hostels;7;7;898;898;6773;16684
2005;10;sonstige;7;7;439;439;2010;6076
2005;11;Hotels;69;69;11392;11207;95017;196812
2005;11;Hotels garni;22;22;1860;1832;12432;26981
2005;11;Gasthöfe;18;18;345;338;1438;2783
2005;11;Pensionen;34;34;609;605;2665;6107
2005;11;Jugendherbergen, Hütten und Hostels;7;7;898;898;4889;10514
2005;11;sonstige;7;7;439;439;1455;4718
2005;12;Hotels;69;69;11383;11219;108353;225402
2005;12;Hotels garni;22;22;1860;1834;14367;29276
2005;12;Gasthöfe;18;18;345;336;1610;3092
2005;12;Pensionen;34;34;611;607;3046;6836
