Jahr;Stadtteil zus. (Kriminalität);Stadtteil (Kriminalität);Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Fälle erfasst (Tatortprinzip);Fälle aufgeklärt;Tatverdächtige insgesamt
2003;86 Plauen;86 Plauen;14 Mockritz, Coschütz, Plauen;StB 8 Plauen;730;334;278
2003;90 Cossebaude/Mobschatz/Oberw.;90 Cossebaude/Mobschatz/Oberw.;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;442;213;176
2003;91 Cotta;91 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;1138;634;562
2003;92 Löbtau-Nord;92 Löbtau-Nord;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;873;469;452
2003;93 Löbtau-Süd;93 Löbtau-Süd;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;915;439;400
2003;94 Naußlitz;94 Naußlitz;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;356;163;152
2003;95 Gorbitz-Süd;95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;632;310;269
2003;96 Gorbitz-Ost;96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;355;178;188
2003;97 Gorbitz-Nord/Neu-Omsewitz;97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;651;314;295
2003;98 Briesnitz;98 Briesnitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;529;237;206
2003;99 Altfranken/Gompitz;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;371;245;231
2003;Korrektur Mehrfachzählung;Korrektur Mehrfachzählung;00 unbekannt;unbekannt;0;0;-4709
2004;unbekannt/unzutreffend;unbekannt/unzutreffend;00 unbekannt;unbekannt;2052;1721;0
2004;01 Innere Altstadt;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;2664;1401;1272
2004;02 Pirnaische Vorstadt;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;761;317;352
2004;03 Seevorstadt-Ost;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;1902;973;852
2004;04 Wilsdruffer Vs./Seevs.-West;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;979;364;338
2004;05 Friedrichstadt;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;1388;653;601
2004;06 Johannstadt-Nord;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;1119;370;317
2004;07 Johannstadt-Süd;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;723;269;188
2004;11 Äußere Neustadt (Antonstadt);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;3394;1496;1157
