Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2017;2. Quartal;04;21-Herst. von pharmazeutischen Erzeugnissen;23867;-;-;23948;-;-
2017;2. Quartal;04;25-Herst. von Metallerzeugnissen;9391;-;-;8853;-;-
2017;2. Quartal;04;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;229711;-;-;208796;-;-
2017;2. Quartal;04;27-Herst. von elektrischen Ausrüstungen;18952;-;-;21902;-;-
2017;2. Quartal;04;28-Maschinenbau;98036;84006;6531;35559;21480;3928
2017;2. Quartal;04;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;2. Quartal;04;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;2. Quartal;05;Verarbeitendes Gewerbe gesamt;439066;266905;173792;382759;219675;142426
2017;2. Quartal;05;13-Herst. von Textilien;0;0;0;-;-;-
2017;2. Quartal;05;20-Herst. von chemischen Erzeugnissen;6859;2926;2107;7209;3040;2010
2017;2. Quartal;05;21-Herst. von pharmazeutischen Erzeugnissen;26816;-;-;27576;-;-
2017;2. Quartal;05;25-Herst. von Metallerzeugnissen;11199;1618;1303;10436;1418;1044
2017;2. Quartal;05;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;248659;-;-;206189;-;-
2017;2. Quartal;05;27-Herst. von elektrischen Ausrüstungen;18564;8190;4347;26317;13385;2062
2017;2. Quartal;05;28-Maschinenbau;68438;44478;6512;51758;33075;5904
2017;2. Quartal;05;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;2. Quartal;05;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;2. Quartal;06;Verarbeitendes Gewerbe gesamt;483866;306036;225722;346302;183257;102263
2017;2. Quartal;06;13-Herst. von Textilien;0;0;0;-;-;-
2017;2. Quartal;06;20-Herst. von chemischen Erzeugnissen;5906;3028;1925;6213;3343;2128
2017;2. Quartal;06;21-Herst. von pharmazeutischen Erzeugnissen;25219;-;-;26591;-;-
2017;2. Quartal;06;25-Herst. von Metallerzeugnissen;11652;2301;993;12296;3324;3115
2017;2. Quartal;06;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;258552;-;-;175078;-;-
2017;2. Quartal;06;27-Herst. von elektrischen Ausrüstungen;28135;11104;2571;19804;7361;2362
2017;2. Quartal;06;28-Maschinenbau;64417;43763;5218;63915;41968;8870
2017;2. Quartal;06;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;2. Quartal;06;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;3. Quartal;07;Verarbeitendes Gewerbe gesamt;436700;281029;204409;375805;202024;146406
2017;3. Quartal;07;13-Herst. von Textilien;0;0;0;-;-;-
2017;3. Quartal;07;20-Herst. von chemischen Erzeugnissen;6240;2450;1619;5875;2466;1682
2017;3. Quartal;07;21-Herst. von pharmazeutischen Erzeugnissen;21751;-;-;26976;-;-
2017;3. Quartal;07;25-Herst. von Metallerzeugnissen;9376;-;-;23764;-;-
2017;3. Quartal;07;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;278064;-;-;213040;-;-
2017;3. Quartal;07;27-Herst. von elektrischen Ausrüstungen;26264;7078;1454;15990;5798;2658
2017;3. Quartal;07;28-Maschinenbau;59378;33940;7168;44501;21623;7352
2017;3. Quartal;07;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;3. Quartal;07;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;3. Quartal;08;Verarbeitendes Gewerbe gesamt;460580;281778;199480;407599;237451;164854
2017;3. Quartal;08;13-Herst. von Textilien;-;-;-;-;-;-
2017;3. Quartal;08;20-Herst. von chemischen Erzeugnissen;8345;3064;2188;6507;2977;1932
2017;3. Quartal;08;21-Herst. von pharmazeutischen Erzeugnissen;25396;-;-;27791;-;-
2017;3. Quartal;08;25-Herst. von Metallerzeugnissen;10905;1931;1532;12523;1240;887
2017;3. Quartal;08;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;272467;-;-;231997;-;-
2017;3. Quartal;08;27-Herst. von elektrischen Ausrüstungen;25321;5637;1715;21882;7283;2758
2017;3. Quartal;08;28-Maschinenbau;55611;38028;4070;53139;28082;4921
2017;3. Quartal;08;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;3. Quartal;08;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;3. Quartal;09;Verarbeitendes Gewerbe gesamt;533971;386043;255535;421160;252939;147624
2017;3. Quartal;09;13-Herst. von Textilien;-;-;-;-;-;-
2017;3. Quartal;09;20-Herst. von chemischen Erzeugnissen;7029;2556;1834;8454;2773;1993
2017;3. Quartal;09;21-Herst. von pharmazeutischen Erzeugnissen;23276;-;-;28444;-;-
2017;3. Quartal;09;25-Herst. von Metallerzeugnissen;11634;-;-;10880;-;-
2017;3. Quartal;09;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;271601;200461;169491;219260;143541;111755
2017;3. Quartal;09;27-Herst. von elektrischen Ausrüstungen;17927;7795;2914;35568;-;-
2017;3. Quartal;09;28-Maschinenbau;102680;86114;7328;54520;31074;3373
2017;3. Quartal;09;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;3. Quartal;09;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;4. Quartal;10;Verarbeitendes Gewerbe gesamt;424106;262428;185396;338860;193271;123190
2017;4. Quartal;10;13-Herst. von Textilien;0;0;0;-;-;-
2017;4. Quartal;10;20-Herst. von chemischen Erzeugnissen;8013;3149;1985;8049;2858;1503
2017;4. Quartal;10;21-Herst. von pharmazeutischen Erzeugnissen;32289;-;-;31154;-;-
2017;4. Quartal;10;25-Herst. von Metallerzeugnissen;9166;-;-;9980;-;-
2017;4. Quartal;10;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;241697;169015;138872;175203;103470;80592
2017;4. Quartal;10;27-Herst. von elektrischen Ausrüstungen;24276;10294;2250;18282;10209;4533
2017;4. Quartal;10;28-Maschinenbau;64128;34753;4884;55410;36956;3974
2017;4. Quartal;10;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;4. Quartal;10;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;4. Quartal;11;Verarbeitendes Gewerbe gesamt;433270;281694;184290;442195;265697;161488
2017;4. Quartal;11;13-Herst. von Textilien;0;0;0;-;-;-
2017;4. Quartal;11;20-Herst. von chemischen Erzeugnissen;8085;2761;1870;7741;2733;1895
