Jahr;Wirtschaftszweig 2-Steller;Anzahl Betriebe;Tätige Personen;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;Exportquote (in Prozent)
2015;Verarbeitendes Gewerbe gesamt;239;27529;1182984;42972;6657241;3420867;241826;51,4
2015;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;1;-;-;-;-;-;-;-
2015;10-Herst. von Nahrungs- und Futtermitteln;26;868;19661;22651;141770;-;163329;-
2015;11-Getränkeherstellung;1;-;-;-;-;-;-;-
2015;12-TabakVerarb.;1;-;-;-;-;-;-;-
2015;13-Herst. von Textilien;1;-;-;-;-;-;-;-
2015;17-Herst. von Papier, Pappe und Waren daraus;1;-;-;-;-;-;-;-
2015;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";18;1855;53256;28709;227960;-;122889;-
2015;20-Herst. von chemischen Erzeugnissen;8;560;19404;34650;164060;39657;292964;24,2
2015;21-Herst. von pharmazeutischen Erzeugnissen;6;1545;73297;47441;247480;-;160181;-
2015;22-Herst. von Gummi- und Kunststoffwaren;6;-;-;-;-;-;-;-
2015;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;10;257;9902;38529;64799;-;252136;-
2015;24-Metallerzeugung und -bearbeitung;2;-;-;-;-;-;-;-
2015;25-Herst. von Metallerzeugnissen;21;1470;39550;26905;150946;10919;102684;7,2
2015;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;36;8888;456015;51307;3139690;2176363;353250;69,3
2015;27-Herst. von elektrischen Ausrüstungen;17;1838;77031;41910;359030;197910;195337;55,1
2015;28-Maschinenbau;31;4417;189114;42815;664527;429540;150448;64,6
2015;29-Herst. von Kraftwagen und Kraftwagenteilen;4;-;-;-;-;-;-;-
2015;30-Sonstiger Fahrzeugbau;2;-;-;-;-;-;-;-
2015;31-Herst. von Möbeln;1;-;-;-;-;-;-;-
2015;32-Herst. von sonstigen Waren;14;830;19230;23169;58789;10975;70830;18,7
2015;33-Rep. + Install. v. Maschinen + Ausrüstungen;32;1911;82971;43418;287442;53824;150414;18,7
2016;Verarbeitendes Gewerbe gesamt;238;27377;1180614;43124;6278373;3053425;229330;48,6
2016;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;1;-;-;-;-;-;-;-
2016;10-Herst. von Nahrungs- und Futtermitteln;27;1037;25261;24360;170057;9672;163989;5,7
2016;11-Getränkeherstellung;1;-;-;-;-;-;-;-
2016;12-TabakVerarb.;1;-;-;-;-;-;-;-
2016;13-Herst. von Textilien;1;-;-;-;-;-;-;-
2016;17-Herst. von Papier, Pappe und Waren daraus;1;-;-;-;-;-;-;-
2016;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";18;1901;56775;29866;236278;-;124291;-
2016;20-Herst. von chemischen Erzeugnissen;7;424;14804;34915;135720;31994;320094;23,6
2016;21-Herst. von pharmazeutischen Erzeugnissen;6;1565;75867;48477;480036;-;306732;-
2016;22-Herst. von Gummi- und Kunststoffwaren;6;-;-;-;-;-;-;-
2016;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;10;249;9749;39153;84363;-;338807;-
2016;24-Metallerzeugung und -bearbeitung;2;-;-;-;-;-;-;-
2016;25-Herst. von Metallerzeugnissen;21;1466;40032;27307;150336;14208;102548;9,5
2016;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;35;8726;445311;51033;2711867;1713278;310780;63,2
2016;27-Herst. von elektrischen Ausrüstungen;17;1812;76791;42379;305463;138402;168578;45,3
2016;28-Maschinenbau;31;4354;189171;43448;635581;409363;145976;64,4
