Jahr;Stadtraum;Wegezweck;Anteil Weg nur zu Fuß;Anteil Weg mit Fahrrad;Anteil Weg mit Straßenbahn;Anteil Weg mit Bus (Stadtverk.);Anteil Weg mit Bus (Regionalverk.);Anteil Weg mit S-Bahn/Bahn AG;Anteil Weg mit Motorrad etc.;Anteil Weg als Pkw-Mitfahrer;Anteil Weg als Pkw-Selbstfahrer;Anteil Weg mit sonstigem Verkehrsmittel
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zum Einkaufen;4,6;13,9;21,2;9,6;1;1,3;0;10,2;37,1;1,3
2007;16 Gorbitz;Weg zur Arbeit;0,9;8,6;28,4;13,5;1;2,3;2,3;3,2;39,5;0,3
2007;16 Gorbitz;Weg zum Einkaufen;6,7;6,1;25,9;8,4;1,8;0,5;1,3;11,5;36,2;1,5
2007;17 Briesnitz und westliche OS;Weg zur Arbeit;0;13;9;11,4;0,8;6,1;2,5;1,9;54,6;0,6
2007;17 Briesnitz und westliche OS;Weg zum Einkaufen;0;11,1;7,6;8,8;1,2;3,4;0;10,2;56,7;0,9
2007;18 Dresden gesamt;Weg zur Arbeit;3,6;17,9;18;11;1,3;4,7;1,2;3,5;37,9;1
2007;18 Dresden gesamt;Weg zum Einkaufen;4,9;15,5;17,7;10,6;1;1,6;0,6;8,6;38,4;1,2
2010;01 StB Altstadt ohne Johannstadt;Weg zur Arbeit;4,9;25,8;24,7;13;2,2;4,7;0,5;3,9;20,2;0
2010;01 StB Altstadt ohne Johannstadt;Weg zum Einkaufen;14,6;12,7;19,4;8,3;1,9;1,2;0,7;8,8;30,4;2
2010;02 Johannstadt;Weg zur Arbeit;1,9;19,8;21,5;17,5;0;0,6;2,4;3,1;31,4;1,7
2010;02 Johannstadt;Weg zum Einkaufen;14,2;15,6;17,5;15,8;1,3;0,2;1,2;6,4;27,3;0,6
2010;03 StB Neustadt ohne Leipziger Vorstadt;Weg zur Arbeit;5,1;30,2;21,7;4,3;0;2;0,5;3,2;31,3;1,7
2010;03 StB Neustadt ohne Leipziger Vorstadt;Weg zum Einkaufen;9,4;31;21,2;3,7;0;0;0,2;3,9;30,4;0,3
