Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2002;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;2067;1084;542
2002;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;695;454;136
2002;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;16596;0;10507
2002;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5205;1789;1789
2002;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;3094;1582;791
2002;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;961;600;185
2002;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;17922;0;9757
2002;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;6293;2007;2007
2002;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;4629;2332;1166
2002;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1224;750;232
2002;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;19151;0;10443
2002;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5905;1890;1890
2002;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;4482;2232;1116
2002;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;1618;998;302
2002;StB 5 Blasewitz;08 Blasewitz, Striesen;0 Kinder;27120;0;17527
2002;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;8158;2804;2804
2002;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;5608;2876;1438
2002;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;1362;843;268
2002;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;0 Kinder;24764;0;15365
2002;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;6397;2211;2211
2002;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;3831;1994;997
2002;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;819;518;160
2002;StB 6 Leuben;10 StB Leuben;0 Kinder;24610;0;14871
