Jahr;Herkunftsland_37Auspr;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2007;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;1565;3179
2007;China;China;Asien;Ausland;3192;6149
2007;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;516;1580
2007;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;2147;6152
2007;Japan;Japan;Asien;Ausland;18622;38567
2007;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;2535;3615
2007;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;1230;3326
2007;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;561;1480
2007;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;2546;6676
2007;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;3607;7740
2007;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;2319;4759
2008;Deutschland;Deutschland;Deutschland;Deutschland;1252484;2688524
2008;Belgien;Belgien;Europa ohne Deutschland;Ausland;5716;13488
2008;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;6526;15118
2008;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1694;3665
2008;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;11589;25522
2008;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1984;3956
2008;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1037;2310
2008;Italien;Italien;Europa ohne Deutschland;Ausland;18770;33751
2008;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1296;3489
2008;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;17076;39152
2008;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2256;4464
2008;Österreich;Österreich;Europa ohne Deutschland;Ausland;17872;40808
2008;Polen;Polen;Europa ohne Deutschland;Ausland;7634;14244
2008;Schweden;Schweden;Europa ohne Deutschland;Ausland;5010;7877
2008;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;18608;44291
2008;Russland;Russland;Europa ohne Deutschland;Ausland;9095;22166
2008;Spanien;Spanien;Europa ohne Deutschland;Ausland;7947;16047
2008;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;6981;11392
2008;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2375;4862
2008;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;902;2279
2008;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;19511;45812
2008;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;9925;23351
2008;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1287;5630
2008;USA;USA;Amerika;Ausland;24841;64126
2008;Kanada;Kanada;Amerika;Ausland;3310;7690
2008;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;2661;4680
2008;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1059;2962
2008;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;1861;4897
2008;China;China;Asien;Ausland;5923;11848
2008;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;726;1755
2008;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;2102;5739
2008;Japan;Japan;Asien;Ausland;17602;37564
2008;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;1925;3828
2008;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;1158;3719
2008;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;704;2800
