Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
3226;00084;"Lingnerallee                       ";"3   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";021  Pirnaische Vs.(Grunaer-Süd);"Süd ";01069;158;"  ";"  "
3227;00084;"Lingnerallee                       ";"    ";"    ";"12  ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";036  Bürgerwiese/Blüherpark;"Süd ";01069;158;"  ";"  "
3228;00085;"Lingnerplatz                       ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";036  Bürgerwiese/Blüherpark;"Süd ";01069;158;"  ";"  "
3229;09152;"Linzer Straße                      ";"    ";"    ";"    ";"    ";"Leuben              ";"Laubegast                ";624  Laubegast(Altlaubegast);"Süd ";01279;158;"  ";"  "
3230;12168;"Lippersdorfer Weg                  ";"    ";"    ";"    ";"    ";"Plauen              ";"Kleinpestitz             ";843  Kleinpestitz(Dorfhainer Str);"Süd ";01189;158;"  ";"  "
3231;09012;"Lipsiusstraße                      ";"1   ";"17  ";"2   ";"18  ";"Blasewitz           ";"Dresden-Altstadt 2       ";534  Johannst.-SO(Lipsiusstr);"Süd ";01309;158;"  ";"  "
3232;09012;"Lipsiusstraße                      ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Dresden-Altstadt 2       ";535  Johannst.-SO(Comeniusstr);"Süd ";01309;158;"  ";"  "
3233;14244;"Lise-Meitner-Straße                ";"1   ";"3   ";"    ";"    ";"Cotta               ";"Omsewitz                 ";973  Neu-Omsewitz(Melisseweg);"Süd ";01169;159;"  ";"  "
3234;14244;"Lise-Meitner-Straße                ";"    ";"    ";"2   ";"22  ";"Cotta               ";"Omsewitz                 ";985  Alt-Omsewitz;"Süd ";01169;159;"  ";"  "
3235;14244;"Lise-Meitner-Straße                ";"15  ";"39  ";"    ";"    ";"Cotta               ";"Omsewitz                 ";975  Neu-Omsewitz(Harthaer-Ost);"Süd ";01169;159;"  ";"  "
3236;14244;"Lise-Meitner-Straße                ";"U   ";"    ";"    ";"    ";"Cotta               ";"Omsewitz                 ";974  Neu-Omsew.(Kresseweg);"Süd ";01169;159;"  ";"  "
3237;03017;"Liststraße                         ";"    ";"    ";"    ";"    ";"Pieschen            ";"Dresden-Neustadt         ";251  Leipziger Vs.-NW(Liststr);Nord;01127;159;"  ";"  "
3238;06021;"Löbauer Straße                     ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";122  Radeberger Vs.(Forststr);Nord;01099;159;"  ";"  "
3239;12178;"Löbtauer Brücke                    ";"    ";"    ";"    ";"    ";"Cotta               ";"Löbtau                   ";921  Löbtau-Nord(Ebertplatz);"Süd ";01159;159;"  ";"  "
3240;14026;"Löbtauer Straße                    ";"15  ";"21a ";"2   ";"6   ";"Altstadt            ";"Dresden-Friedrichstadt   ";052  Friedrichst.(Schäferstr);"Süd ";01067;158;"  ";"  "
3241;14026;"Löbtauer Straße                    ";"25  ";"45  ";"26  ";"80  ";"Altstadt            ";"Dresden-Friedrichstadt   ";051  Friedrichst.(Löbtauer Str);"Süd ";01159;158;"  ";"  "
3242;14026;"Löbtauer Straße                    ";"51  ";"71  ";"86  ";"88  ";"Cotta               ";"Löbtau                   ";921  Löbtau-Nord(Ebertplatz);"Süd ";01159;159;"  ";"  "
3243;14373;"Lochmühlenweg                      ";"    ";"    ";"    ";"    ";"Oberwartha          ";"Oberwartha               ";905  Oberwartha;"Süd ";01156;159;"  ";"  "
3244;11187;"Lochnerstraße                      ";"    ";"    ";"    ";"    ";"Prohlis             ";"Lockwitz                 ";742  Lockwitz;"Süd ";01257;158;"  ";"  "
3245;09339;"Lockwitzaue                        ";"    ";"    ";"    ";"    ";"Leuben              ";"Meußlitz                 ";633  Meußlitz;"Süd ";01259;158;"  ";"  "
3246;09151;"Lockwitzbachweg                    ";"1   ";"7   ";"    ";"    ";"Leuben              ";"Kleinzschachwitz         ";625  Laubegast(Gasteiner Str);"Süd ";01279;158;"  ";"  "
3247;09151;"Lockwitzbachweg                    ";"    ";"    ";"2   ";"18  ";"Leuben              ";"Laubegast                ";625  Laubegast(Gasteiner Str);"Süd ";01279;158;"  ";"  "
3248;09151;"Lockwitzbachweg                    ";"23  ";"    ";"18e ";"34  ";"Leuben              ";"Leuben                   ";612  Leuben(Stephensonstr);"Süd ";01257;158;"  ";"  "
3249;09151;"Lockwitzbachweg                    ";"    ";"    ";"60  ";"    ";"Leuben              ";"Leuben                   ";613  Leuben(Kleinzschachwitzer Str);"Süd ";01257;158;"  ";"  "
3250;10032;"Lockwitzer Straße                  ";"1   ";"69  ";"    ";"    ";"Prohlis             ";"Strehlen                 ";762  Strehlen(Rayskistr);"Süd ";01219;158;"  ";"  "
3251;10032;"Lockwitzer Straße                  ";"    ";"    ";"2   ";"4   ";"Prohlis             ";"Strehlen                 ";761  Strehlen(August-Bebel-Str);"Süd ";01219;158;"  ";"  "
3252;10032;"Lockwitzer Straße                  ";"    ";"    ";"6   ";"26  ";"Prohlis             ";"Strehlen                 ";763  Strehlen(Lenbachstr);"Süd ";01219;158;"  ";"  "
