Jahr;Wahlbezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Wahl-Form;Wahlberechtigte;Wahlberechtigte mit WS;Wähler;Wähler mit WS;Stimmen gültig;Stimmen CDU;Stimmen SPD;Stimmen Die Linke;Stimmen Grüne;Stimmen FDP;Stimmen Rechte Parteien;Stimmen AfD;Stimmen Piraten;Stimmen sonstiger Parteien;Stimmen ungültig
1999;31201;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;773;92;403;0;397;216;32;99;14;2;13;0;0;21;6
1999;31202;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;707;97;403;0;398;222;38;89;9;4;17;0;0;19;5
1999;31300;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;1232;150;735;0;726;409;45;209;16;5;17;0;0;25;9
1999;31400;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;1055;107;654;0;647;404;41;122;31;9;9;0;0;31;7
1999;31500;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;884;120;515;0;509;327;41;89;31;5;1;0;0;15;6
1999;31601;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;722;88;443;0;436;284;44;67;23;1;5;0;0;12;7
1999;31602;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;757;106;498;0;497;315;31;92;36;1;2;0;0;20;1
1999;31701;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;922;116;461;0;457;245;42;129;12;1;12;0;0;16;4
1999;31702;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;644;62;354;0;352;171;30;108;13;2;10;0;0;18;2
1999;31800;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;996;66;571;0;565;306;39;165;24;1;15;0;0;15;6
1999;32000;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Brief;0;0;612;612;611;383;53;109;22;2;11;0;0;31;1
1999;32100;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;1347;228;752;1;747;482;43;136;21;4;32;0;0;29;5
1999;32201;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;655;64;392;0;387;247;27;70;12;3;9;0;0;19;5
1999;32202;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;945;111;574;1;565;355;41;120;19;1;7;0;0;22;9
1999;32300;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;889;101;531;0;529;291;56;119;19;10;8;0;0;26;2
1999;32400;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;1048;134;645;0;639;346;64;150;48;3;8;0;0;20;6
1999;35010;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Brief;0;0;310;310;307;198;26;47;20;4;5;0;0;7;3
1999;35110;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;914;60;572;0;571;371;57;94;21;3;16;0;0;9;1
1999;35210;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;733;66;458;1;451;283;26;85;27;3;11;0;0;16;7
1999;35310;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;972;88;577;0;572;383;39;88;24;8;16;0;0;14;5
1999;35410;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;1009;67;643;0;635;429;40;87;23;11;23;0;0;22;8
1999;35510;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;497;37;311;0;310;208;21;49;7;5;12;0;0;8;1
1999;35610;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;239;5;135;0;132;84;14;22;4;1;3;0;0;4;3
