Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl Einwohner
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;26 Jahre;506
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;27 Jahre;465
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;28 Jahre;445
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;29 Jahre;390
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;30 Jahre;390
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;31 Jahre;377
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;32 Jahre;358
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;33 Jahre;381
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;34 Jahre;318
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;35 Jahre;361
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;36 Jahre;308
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;37 Jahre;294
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;38 Jahre;291
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;39 Jahre;212
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;40 Jahre;196
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;41 Jahre;155
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;42 Jahre;159
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;43 Jahre;159
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;44 Jahre;162
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;45 Jahre;135
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;46 Jahre;112
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;47 Jahre;125
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;48 Jahre;125
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;49 Jahre;115
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;50 Jahre;112
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;51 Jahre;104
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;52 Jahre;106
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;53 Jahre;93
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;54 Jahre;93
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;55 Jahre;93
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;56 Jahre;79
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;57 Jahre;61
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;58 Jahre;64
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;59 Jahre;74
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;60 Jahre;65
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;61 Jahre;60
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;62 Jahre;49
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;63 Jahre;53
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;64 Jahre;54
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;65 Jahre;62
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;66 Jahre;37
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;67 Jahre;39
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;68 Jahre;47
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;69 Jahre;33
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;70 Jahre;33
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;71 Jahre;59
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;72 Jahre;59
