Jahr;Stadtraum;Befindlichkeitsart;"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht"""
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;64,9;27;8,1
2010;13 Südvorstadt, Zschertnitz;Gesundheitszustand;62,2;35,9;1,8
2010;13 Südvorstadt, Zschertnitz;Wohlbefinden;60,5;36,8;2,7
2010;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;69,4;26,9;3,7
2010;14 Mockritz, Coschütz, Plauen;Wohlbefinden;78,1;21,9;0
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;66,4;27,7;5,9
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;68,4;28,9;2,7
2010;16 Gorbitz;Gesundheitszustand;44,2;43,1;12,7
2010;16 Gorbitz;Wohlbefinden;41,1;50;8,9
2010;17 Briesnitz und westliche OS;Gesundheitszustand;63,1;31,2;5,7
2010;17 Briesnitz und westliche OS;Wohlbefinden;66;31;3
2010;18 Dresden gesamt;Gesundheitszustand;58,5;36;5,5
2010;18 Dresden gesamt;Wohlbefinden;60,3;35,5;4,2
2012;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;54,2;42;3,7
2012;01 StB Altstadt ohne Johannstadt;Wohlbefinden;48;52;0
2012;02 Johannstadt;Gesundheitszustand;41,6;47,7;10,8
2012;02 Johannstadt;Wohlbefinden;44,9;47,8;7,3
2012;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;67,4;29,2;3,4
2012;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;60,6;34,9;4,5
2012;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;63,1;32,6;4,3
2012;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;61;37,7;1,3
2012;05 Mickten, Kaditz, Trachau;Gesundheitszustand;55,1;40,5;4,4
2012;05 Mickten, Kaditz, Trachau;Wohlbefinden;54,6;40,3;5,1
2012;06 StB Klotzsche und nördliche OS;Gesundheitszustand;49,9;41;9,2
2012;06 StB Klotzsche und nördliche OS;Wohlbefinden;50,2;46,8;3
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;48,6;43,7;7,6
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;53,6;40,3;6,1
2012;08 Blasewitz, Striesen;Gesundheitszustand;55,4;37,8;6,8
2012;08 Blasewitz, Striesen;Wohlbefinden;53,9;40,3;5,8
2012;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;44,7;49,4;5,9
2012;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;48;49;3
2012;10 StB Leuben;Gesundheitszustand;49,9;40,6;9,5
2012;10 StB Leuben;Wohlbefinden;52;44,1;3,9
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;40,5;50,2;9,3
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;41,6;51,5;6,9
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;49,4;45,3;5,3
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;49,4;47,6;3
2012;13 Südvorstadt, Zschertnitz;Gesundheitszustand;50,7;42,6;6,6
2012;13 Südvorstadt, Zschertnitz;Wohlbefinden;52,8;43,8;3,4
2012;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;49;47,4;3,5
2012;14 Mockritz, Coschütz, Plauen;Wohlbefinden;61;37,3;1,7
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;62,4;32,2;5,4
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;50,2;43,9;5,8
2012;16 Gorbitz;Gesundheitszustand;42,8;46,6;10,6
2012;16 Gorbitz;Wohlbefinden;39,3;57,3;3,5
2012;17 Briesnitz und westliche OS;Gesundheitszustand;53;39,7;7,4
2012;17 Briesnitz und westliche OS;Wohlbefinden;54,3;42,3;3,4
2012;18 Dresden gesamt;Gesundheitszustand;52,6;40,9;6,5
2012;18 Dresden gesamt;Wohlbefinden;52;44,1;4
2014;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;47,2;44,6;8,2
2014;01 StB Altstadt ohne Johannstadt;Wohlbefinden;53,7;44,7;1,6
2014;02 Johannstadt;Gesundheitszustand;47;39,9;13,1
2014;02 Johannstadt;Wohlbefinden;54,2;42,2;3,6
2014;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;72,5;22,4;5,1
2014;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;66,9;29,3;3,9
2014;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;63,8;32,1;4,1
2014;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;58,7;40,1;1,2
2014;05 Mickten, Kaditz, Trachau;Gesundheitszustand;51,5;41,7;6,8
2014;05 Mickten, Kaditz, Trachau;Wohlbefinden;53,1;42,2;4,7
2014;06 StB Klotzsche und nördliche OS;Gesundheitszustand;58,4;33,3;8,3
2014;06 StB Klotzsche und nördliche OS;Wohlbefinden;63,9;32,3;3,8
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;58,4;37,1;4,5
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;69,5;27,1;3,4
2014;08 Blasewitz, Striesen;Gesundheitszustand;64,3;30,1;5,6
2014;08 Blasewitz, Striesen;Wohlbefinden;59,3;39,6;1,1
2014;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;52,1;43,3;4,6
2014;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;49,5;47,5;3
