Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Staatsangehörigkeit-1 Deutsche / Ausländer;Anzahl Einwohner
2025;61 Leuben;StB 6 Leuben;10 StB Leuben;männlich;Ausländer;737
2025;61 Leuben;StB 6 Leuben;10 StB Leuben;weiblich;Deutsche;5877
2025;61 Leuben;StB 6 Leuben;10 StB Leuben;weiblich;Ausländer;783
2025;62 Laubegast;StB 6 Leuben;10 StB Leuben;männlich;Deutsche;5467
2025;62 Laubegast;StB 6 Leuben;10 StB Leuben;männlich;Ausländer;221
2025;62 Laubegast;StB 6 Leuben;10 StB Leuben;weiblich;Deutsche;5852
2025;62 Laubegast;StB 6 Leuben;10 StB Leuben;weiblich;Ausländer;328
2025;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;männlich;Deutsche;3965
2025;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;männlich;Ausländer;81
2025;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;weiblich;Deutsche;4125
2025;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;weiblich;Ausländer;122
2025;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;männlich;Deutsche;2844
2025;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;männlich;Ausländer;213
2025;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;weiblich;Deutsche;2948
2025;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;weiblich;Ausländer;201
2025;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;Deutsche;2277
2025;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;Ausländer;967
2025;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;Deutsche;2400
2025;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;Ausländer;817
2025;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;Deutsche;3188
2025;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;Ausländer;1443
2025;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;Deutsche;3252
2025;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;Ausländer;1402
2025;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;Deutsche;2824
2025;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;Ausländer;221
2025;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;Deutsche;2972
2025;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;Ausländer;123
2025;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;Deutsche;3499
2025;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;Ausländer;156
2025;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;Deutsche;3559
2025;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;Ausländer;180
