Jahr;Quartal;Monat;Hauptgruppen (WZ 08);Anzahl Betriebe;Tätige Personen (absolut);"Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent)";Geleistete Arbeitsstunden (gesamt in 1000h);Geleistete Arbeitsstunden je tätiger Person;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";"Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;"Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent)";Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR);Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR);Umsatz aus eigenen Erzeugnissen je tätiger Person
2021;1. Quartal;02;A+EN Vorleistungsgüter und Energie;38;10958;41,9;1506;137;43785;3996;198758;126828;16512;18138;50,1;192972;124932;17610
2021;1. Quartal;02;B Investitionsgüter;59;10561;40,4;1335;126;39062;3699;120823;55308;14330;11440;30,4;114109;53804;10805
2021;1. Quartal;02;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;1. Quartal;02;VG Verbrauchsgüter;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;1. Quartal;02;Verarbeitendes Gewerbe gesamt;123;26124;100;3403;130;99128;3795;396956;212860;51853;15195;100;378886;209062;14503
2021;1. Quartal;03;A+EN Vorleistungsgüter und Energie;38;10950;41,9;1659;152;57375;5240;243369;151182;21810;22225;38;236421;150218;21591
2021;1. Quartal;03;B Investitionsgüter;59;10571;40,5;1455;138;39604;3746;303785;200181;21293;28738;47,4;291290;194676;27556
2021;1. Quartal;03;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;1. Quartal;03;VG Verbrauchsgüter;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;1. Quartal;03;Verarbeitendes Gewerbe gesamt;123;26118;100;3748;144;114424;4381;641176;384572;65390;24549;100;615760;377861;23576
2021;2. Quartal;04;A+EN Vorleistungsgüter und Energie;38;11002;41,9;1511;137;45486;4134;202085;121570;20805;18368;49;194569;120369;17685
2021;2. Quartal;04;B Investitionsgüter;60;10645;40,6;1299;122;42898;4030;133415;63742;17141;12533;32,3;122650;61330;11522
2021;2. Quartal;04;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;2. Quartal;04;VG Verbrauchsgüter;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;2. Quartal;04;Verarbeitendes Gewerbe gesamt;124;26244;100;3382;129;104996;4001;412543;214921;58557;15720;100;389030;211031;14824
2021;2. Quartal;05;A+EN Vorleistungsgüter und Energie;38;11037;42;1474;134;47831;4334;270908;177362;24814;24545;56;260371;175617;23591
