Jahr;Stadtraum;Zeitfenster;"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
2007;10 StB Leuben;in einem Jahr;1,2;9,9;47,2;26,6;4,6;10,5
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;5,6;14,6;62,7;9,1;5,9;2,1
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;0;36,8;42,1;15,4;4,5;1,2
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;0;11,9;48;17,3;7,3;15,5
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;4,2;21,9;55,7;14,2;3;1,1
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;5,1;41,7;39,6;8,7;4,4;0,5
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;4,7;9,5;51,2;19,7;4,3;10,6
2007;13 Südvorstadt, Zschertnitz;vor einem Jahr;3,5;20;60,4;11,9;1,5;2,8
2007;13 Südvorstadt, Zschertnitz;heute;3,4;37,2;40,8;13,5;2,9;2,1
2007;13 Südvorstadt, Zschertnitz;in einem Jahr;4,3;11,3;49,8;19,4;3,5;11,7
2007;14 Mockritz, Coschütz, Plauen;vor einem Jahr;2,1;21,4;59,2;14,8;0;2,4
2007;14 Mockritz, Coschütz, Plauen;heute;2,2;49,3;36,4;7,4;2,4;2,4
2007;14 Mockritz, Coschütz, Plauen;in einem Jahr;2,1;10;53,2;20,7;4,3;9,7
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;4,2;20;58,5;11,8;2,2;3,3
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;3,1;43,7;37,3;10,2;2,4;3,3
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;1,8;15,1;43,1;22;3,9;14,1
2007;16 Gorbitz;vor einem Jahr;2,1;20,6;60,4;10,5;5,4;1,1
2007;16 Gorbitz;heute;2,3;25,3;50,7;14,1;6,5;1,1
2007;16 Gorbitz;in einem Jahr;3;10,6;52;17,1;5,3;12
2007;17 Briesnitz und westliche OS;vor einem Jahr;4,6;17,4;58,1;16,5;2,3;1
2007;17 Briesnitz und westliche OS;heute;3,6;41,5;41,6;8,1;3,7;1,6
2007;17 Briesnitz und westliche OS;in einem Jahr;1,5;8;44,6;26,2;5,6;14,1
2007;18 Dresden gesamt;vor einem Jahr;3,5;19,5;56,9;14,9;3,5;1,7
2007;18 Dresden gesamt;heute;3,4;41,4;38,9;10,8;3,8;1,6
2007;18 Dresden gesamt;in einem Jahr;2,6;11,2;46,5;21,7;5,9;12
2010;01 StB Altstadt ohne Johannstadt;vor einem Jahr;2,9;6,7;72,7;16;1,7;0
2010;01 StB Altstadt ohne Johannstadt;heute;1,8;46,5;34,8;10,9;4,7;1,2
2010;01 StB Altstadt ohne Johannstadt;in einem Jahr;0;12,8;62;10,7;6,2;8,2
2010;02 Johannstadt;vor einem Jahr;0,8;14,2;70;10,6;1,8;2,5
2010;02 Johannstadt;heute;7,2;51;23;14,5;3;1,3
2010;02 Johannstadt;in einem Jahr;1,3;7,3;59,2;19,4;4,3;8,6
2010;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;1,9;16,7;57,5;20;3,1;0,7
2010;03 StB Neustadt ohne Leipziger Vorstadt;heute;7;49,6;36;5;1,6;0,7
2010;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;2,8;22,3;56,4;10,3;2,1;6
2010;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;3;20,2;56,8;13,8;3,9;2,3
2010;04 Leipziger Vorstadt, Pieschen;heute;3,8;39,4;35,4;13,5;6,9;1
2010;04 Leipziger Vorstadt, Pieschen;in einem Jahr;3,1;14,3;52,2;12,8;2,6;15,1
2010;05 Mickten, Kaditz, Trachau;vor einem Jahr;3,1;14,5;66,5;10,4;3;2,5
2010;05 Mickten, Kaditz, Trachau;heute;1,7;48,4;34,1;8,3;5,2;2,4
2010;05 Mickten, Kaditz, Trachau;in einem Jahr;2,5;13,3;58,2;12;2,9;11,2
2010;06 StB Klotzsche und nördliche OS;vor einem Jahr;3,7;14,2;68;10,7;1,3;2,1
2010;06 StB Klotzsche und nördliche OS;heute;9,8;47,4;33,6;5,4;2,7;1
2010;06 StB Klotzsche und nördliche OS;in einem Jahr;2,3;10,4;59,6;14;2,4;11,3
2010;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;1,3;14,3;72;7,3;3,2;1,9
2010;07 StB Loschwitz und OS Schönfeld-Weißig;heute;6,2;50,8;32,7;6,5;3,9;0
2010;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;0;7,8;52,6;21,7;2,2;15,7
2010;08 Blasewitz, Striesen;vor einem Jahr;2,5;17,6;64,4;7,2;5,1;3,4
2010;08 Blasewitz, Striesen;heute;6,6;46,2;34,9;7,5;2,6;2,2
2010;08 Blasewitz, Striesen;in einem Jahr;1,5;13,8;54,2;14,3;3,5;12,6
2010;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;1,3;18;68,8;8,7;1,1;2,1
2010;09 Tolkewitz, Seidnitz, Gruna;heute;5,5;46,3;34;8,8;3,7;1,6
2010;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;2,3;8,8;60,5;12,5;2,7;13,1
2010;10 StB Leuben;vor einem Jahr;4,3;12,8;70,1;7,6;4,3;0,9
2010;10 StB Leuben;heute;5,2;45;40,3;6,1;3,3;0
2010;10 StB Leuben;in einem Jahr;0,5;10,7;56,6;15,3;3,8;13
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;3,4;14,1;64,1;13,7;4,3;0,6
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;3,1;43,1;29,3;17,4;6,2;0,8
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;0;10,3;47,1;21,7;3,8;17
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;1,3;15,9;69,3;8,9;2,9;1,7
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;4,3;50,3;33,1;8;2,6;1,7
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;0,6;10,6;57,3;16,3;2,4;12,8
2010;13 Südvorstadt, Zschertnitz;vor einem Jahr;3,7;16;60,9;12,8;3,4;3,3
2010;13 Südvorstadt, Zschertnitz;heute;2,3;52,4;33,9;5,5;2,1;3,9
2010;13 Südvorstadt, Zschertnitz;in einem Jahr;3,5;11,4;56;10,5;2,2;16,4
2010;14 Mockritz, Coschütz, Plauen;vor einem Jahr;2,6;15,1;61,4;17,9;3;0
